character,dialogue
VADER,The Death Star will be completed on schedule.
LEIA,"Hey, I knew there was more to you than money."
HAN,"Hey, Your Worship, I'm only trying to help."
THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better."
HAN,"Charges!  Come on, come on!"
HAN,See?
THREEPIO,"Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesn't anyone listen to me?"
THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind."
HAN,"Well, there's a price on my head. If I don't pay off Jabba the  Hut, I'm a dead man."
HAN,There's an awful lot of moisture in here.
LUKE,"Hey, easy with those..."
LUKE,"There's nothing to see. I used to live here, you know."
LUKE,Shape it up you guys!...  Biggs?
THREEPIO,"Oh, I'm terribly sorry. I...I didn't mean to intrude. No,  no, please don't get up. No!"
THREEPIO,"Sir, I'm almost afraid to ask, but...does that include  shutting me down, too?"
THREEPIO,"Lock the door, Artoo."
THREEPIO,What is what?!?  He asked you a question...What is that?
VADER,I sense something... a presence I haven't felt since...
BEN,Should I have?
LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.
LUKE,That's okay.  I'm never coming back to this planet again.
BEN,I felt a great disturbance in the Force... as if millions of voices suddenly cried out in terror and were suddenly silenced.  I fear something terrible has happened.
LANDO,Hold it! Whoa!
LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
THREEPIO,"No, I don't think he likes you at all."
VADER,I am altering the deal. Pray I don't alter it any further.
HAN,"Luke? Luke's crazy. He can't even take care of himself, much less rescue anybody."
THREEPIO,"Stormtroopers? Here? We're in danger. I must tell the  others. Oh, no! I've been shot!"
THREEPIO,"Not my eyes! Artoo, help! Quickly, Artoo. Oh! Ohhh! You beast!"
VADER,You found something?
LEIA,And what precisely am I supposed to know?
LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic."
HAN,I saw them! I saw them!
BEN,Stretch out with your feelings.
THREEPIO,"You wouldn't want my life to get boring, would you?"
THREEPIO,"Impossible man. Come along, Artoo, lets find Princess Leia.  Between ourselves, I think Master Luke is in considerable danger."
LEIA,I'll cover you.
HAN,No. He's checking out a meteorite that hit near him.
LUKE,What are you doing hiding there?
LUKE,Ben?
THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure.."
LUKE,We got separated.
THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways."
HAN,I thought she was with you.
LUKE,Look at him.  He's heading for that small moon.
LEIA,Han! Hurry! The fleet will be here any moment.
LUKE,I will not fight you.
LUKE,"Oh, it's Han!  I don't know, I really thought he'd change his mind. "
LEIA,We don't need any of your help.
THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
HAN,I love you.
VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!
LUKE,"I see them. Wait, Leia!"
HAN,"I've got to hand it to you, kid, you were pretty good out there."
LUKE,Get him!
LEIA,I promise I won't hurt you. Now come here.
THREEPIO,"Sir, would it help if you told him it was my fault."
LEIA,Thanks.
HAN,"That's two you owe me, junior."
VADER,I told you she would never consciously betray the Rebellion.
LEIA,We have powerful friends. You're gonna regret this...
LUKE,Wouldn't miss it.
LEIA,Then I'm going with you.
THREEPIO,"I thought that hairy beast would be the end of me. Of  course, I've looked better."
LUKE,Got him!  I got him!
HAN,"Transport, this is Solo. Better take off -- I  can't get to you. I'll get the princess out on the Falcon."
LANDO,That was too close.
HAN,That's right. And my friends out in it.
THREEPIO,Oooh!
HAN,I've got a very bad feeling about this.
LUKE,No sign of any... wait!
LUKE,"Master, moving stones around is one thing. This is totally  different."
YODA,"Unexpected this is, and unfortunate.."
LUKE,There you go.
LUKE,"Oh, God, my uncle.  How am I ever going to explain this?"
VADER,"Well, Calrissian, did he survive?"
HAN,Good morning. Nice of you guys to  drop by.
LEIA,"This is some rescue.  When you came in here, didn't you have a plan for getting out?"
HAN,Yeah.
LEIA,"Somebody has to save our skins.  Into the garbage chute, wise guy."
THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...
LEIA,Cut it out!
VADER,If this is a consular ship... where is the Ambassador?
THREEPIO,"I would much rather have gone with Master Luke than stay here with you.  I don't know what all this trouble is about, but I'm sure it must be your fault."
LUKE,"Ben...Ben, please!"
HAN,"It's your imagination, kid. Come on. Let's keep a little optimism here."
THREEPIO,No.  Shut them all down!  Hurry!
LEIA,What?
THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.
LANDO,"So you see, since we're a small operation, we don't fall into  the...uh...jurisdiction of the Empire."
HAN,"Yeah, but this time I got the money."
HAN,I'm sorry.
LUKE,You worry about those fighters!  I'll worry about the tower!
LUKE,Threepio!
THREEPIO,"Sir, if you'll not be needing me, I'll close down for awhile."
HAN,Can't get out that way.
VADER,He is here...
LANDO,Split up and head back to the surface. See if you can get a few of those TIE fighters to follow you.
BEN,"Now, let's see if we can't figure out what you are, my little friend.  And where you come from."
HAN,"Uh, uh, negative, negative.  We had a reactor leak here now.  Give us a few minutes to lock it down.  Large leak... very dangerous."
HAN,Looks like somebody's beginning to take an interest in your handiwork.
THREEPIO,"Oh, I told you it was dangerous here."
HAN,Better her than me...
LUKE,"Will you take it easy? Let's just figure out a way to get out of this thing.  Han, can you reach my lightsaber?"
THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.
HAN,"Good, I hate long waits."
HAN,"Chewie? Chewie, is that you?"
LUKE,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
THREEPIO,Level five. Detention block AA-twenty-three.  I'm afraid she's scheduled to be terminated.
BEN,You cannot escape your destiny.
VADER,"Good. See to it that he finds his way here. Calrissian, take  the princess and the Wookiee to my ship."
THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain."
BEN,"If you choose to face Vader, you will do it alone. I cannot  interfere."
LUKE,I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...
LANDO,"How you doing, you old pirate? So good to see you! I  never thought I'd catch up with you again. Where you been?"
LUKE,Uncle Owen!  Aunt Beru!  Uncle Owen!
LEIA,Mynocks?
LUKE,It's not impossible.  I used to bullseye womp rats in my T-sixteen back home.  They're not much bigger than two meters.
THREEPIO,"The city's central computer told you? Artoo-Detoo, you know  better than to trust a strange computer. Ouch! Pay attention to what you're doing!"
THREEPIO,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here."
THREEPIO,Oh! Wait for me!
LANDO,"We've got to be able to get some kind of a reading on that shield, up or down. Well, how could they be jamming us if they don't know if we're coming."
LUKE,"I've accepted the truth that you were once Anakin Skywalker, my father."
HAN,"You. Listen to you -- you sound like a businessman, a responsible  leader. Who'd have thought that, huh?"
LANDO,Only the fighters are attacking.  I wonder what those Star Destroyers are waiting for.
THREEPIO,Wonderful! We are now a part of the tribe.
LUKE,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben."
LEIA,You don't have to do this to impress me.
THREEPIO,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!
LUKE,"There's nothing wrong, Artoo. I'm just setting a  new course."
BEN,"If the ship's as fast as he's boasting, we ought to do well."
LANDO,"Don't worry, my friends are down there. They'll have that shield down on time... or this'll be the shortest offensive of all time."
BEN,It's an Imperial fighter.
LEIA,Occasionally  maybe...when you aren't  acting like a scoundrel.
HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault."
HAN,Get behind me!  Get behind me!
BEN,Plug in.  He should be able to interpret the entire Imperial computer network.
HAN,"It isn't friendly, whatever it is. Come on, Chewie, let's check  it out."
THREEPIO,"Uh, oh... but what, what did I say?  Uh, the mighty Jabba asks why he must pay fifty thousand."
HAN,"Chewie, get us out of here!"
LUKE,Get the gun! Point it at the deck!
VADER,"Sister! So...you have a twin sister. Your feelings have now betrayed her, too. Obi-Wan was wise to hide her from me. Now his failure is complete. If you will not turn to the dark side, then perhaps she will."
VADER,They must be trying to return the stolen plans to the princess.  She may yet be of some use to us.
HAN,"Okay, that's it. Try it...Off! Turn it  off! Turn it off! Off!"
BEN,"And these blast points, too accurate for Sand People.  Only Imperial stormtroopers are so precise."
VADER,Close up formation.
LUKE,"Red Leader, we're right above you.  Turn to point..."
LUKE,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year."
LUKE,You know him?
LUKE,"No, he's not going to try anything."
LUKE,"Well, I'm sorry."
LUKE,"You, too."
THREEPIO,They aren't here!  Something must have happened to them.  See if they've been captured.
THREEPIO,Look!
BEN,"There you will learn from Yoda, the Jedi Master who instructed  me."
THREEPIO,"Artoo, you take good care of Master Luke now, understand?  And...do take care of yourself. Oh, dear, oh, dear."
VADER,There is no conflict.
LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
THREEPIO,"My goodness! Artoo, why did you have to be so brave?"
BEN,"Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born."
HAN,"Stand by, Chewie, here we go.  Cut in the sublight engines."
BEN,That boy is our last hope.
HAN,"What, Chewie? What? Chewie!"
HAN,"No. Well, wait. This is interesting. Lando."
YODA,You must not go!
HAN,Relax. I'll talk to Lando and see what I can find out.
THREEPIO,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.
LEIA,So you're part of the mining guild then?
HAN,That's your imagination.
LEIA,The sooner the better. Something's wrong here. No one has seen  or knows anything about Threepio. He's been gone too long to have gotten lost.
LEIA,Ben Kenobi is here!  Where is he?
HAN,"Uh... had a slight weapons malfunction.  But, uh, everything's perfectly all right now.  We're fine.  We're all fine here, now, thank you.  How are you?"
HAN,"Sure, Leia."
LUKE,"Well, let's get moving!"
HAN,"Not a bad bit of rescuing, huh?  You know, sometimes I even amaze myself."
VADER,"Your destiny lies with me, Skywalker. Obi-Wan knew this to be  true."
HAN,Where?
BEN,"Don't worry, he'll be all right."
HAN,"Jabba, I'll pay you because it's my pleasure."
THREEPIO,"Oh, my!  Artoo!  Can you hear me?  Say something!You can repair him, can't you?"
LEIA,I don't know.
LUKE,Yes. It's you Leia.
HAN,"All right, Chewie, let's get out of here!"
LANDO,What?
THREEPIO,We've had some problems...
HAN,Seventeen thousand!  Those guys must really be desperate.  This could really save my neck.  Get back to the ship and get her ready.
LUKE,"Look, I'm sure it's delicious. I just don't understand why we  can't see Yoda now."
HAN,Why not?
VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time."
HAN,I can't hold them off forever!  Now what?
LEIA,"Just...images, really. Feelings."
LUKE,Shut down all the garbage mashers on the detention level.
LUKE,"Father, please. Help me."
THREEPIO,"Artoo, come back at once! You haven't finished with me yet!  You don't know how to fix the hyperdrive. Chewbacca can do it. I'm standing here in pieces, and you're having delusions of grandeur!"
THREEPIO,Just you reconsider playing that message for him.
LUKE,Dagobah system...
LUKE,"Search your feelings, father. You can't do this. I feel the conflict within you. Let go of your hate."
VADER,You don't know the power of the dark side. I must obey my master.
LUKE,You're gravely mistaken. You won't convert me as you did my father.
VADER,This will be a day long remembered.  It has seen the end of Kenobi and it will soon see the end of the Rebellion.
LANDO,"Watch yourself, Wedge! Three from above!"
THREEPIO,"Ohhh, I can't bear to watch."
HAN,"Chewie! Chewie, this won't help me. Hey!"
VADER,Don't be too proud of this technological terror you've constructed.  The ability to destroy a planet is insignificant next to the power of the Force.
HAN,"Well, look at you, a general, huh?"
THREEPIO,"Excuse us, please."
LEIA,You certainly have a way with people.
BEN,That's your uncle talking.
THREEPIO,"That's funny, the damage doesn't look as bad from out here."
LANDO,Break off the attack! The shield is still up.
LUKE,Ten thousand?  We could almost buy our own ship for that!
LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?
LEIA,Are you crazy?!
THREEPIO,"Artoo, you can tell the computer to override the security  system."
LEIA,Yes.
LUKE,Han!
THREEPIO,"That's how we came to be in your service, if you take my meaning, sir."
HAN,Hey!  Hey!
THREEPIO,"Excuse me, sir. Might I inquire what's going on?"
LUKE,And that is why I have to go.
LUKE,"Oh, no. We'll never get it out now."
VADER,He's all yours bounty hunter. Reset the chamber for Skywalker.
HAN,"Well, what would you like?"
LANDO,"All right, Chewie. Let's go."
LEIA,What about Han?
LUKE,But he can...
BEN,"So was I, if you'll remember."
LUKE,There's still good in him.
LUKE,"Don't worry, Artoo. We're going, we're going."
LUKE,You won't.
VADER,What?
LEIA,I'd just as soon kiss a Wookiee.
LUKE,"Hang on, Biggs, I'm coming in."
LUKE,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator."
YODA,Use the Force. Yes...
LANDO,"Everyone's invited, of course."
THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.
HAN,Here's where the fun begins!
LEIA,He's got to follow his own path.  No one can choose it for him.
LUKE,Why don't you outrun them?  I thought you said this thing was fast.
LUKE,How far away is Yoda? Will it take us long to get there?
LEIA,Don't just stand there.  Try and brace it with something.
BEN,Even Yoda cannot see their fate.
HAN,Save your strength. There'll be another time. The princess -- you  have to take care of her. You hear me?
LEIA,Not really.
LEIA,With the rest of the garbage. Then what?
BEN,"The Organa household was high-born and politically quite powerful in that system. Leia became a princess by virtue of lineage... no one knew she'd been adopted, of course. But it was a title without real power, since Alderaan had long been a democracy.  Even so, the family continued to be politically powerful, and Leia, following in her foster father's path, became a senator as well.  That's not all she became, of course... she became the leader of her cell in the Alliance against the corrupt Empire. And because she had diplomatic immunity, she was a vital link for getting information to the Rebel cause.  That's what she was doing when her path crossed yours... for her foster parents had always told her to contact me on Tatooine, if her troubles became desperate."
LUKE,"Blast it, will you!  My gun's jammed."
HAN,Even I get boarded sometimes.  Do you think I had a choice?
HAN,"Yeah, you're a real hero."
LUKE,"Yeah, take it away."
HAN,Do you know where Commander Skywalker is?
HAN,Be careful.
HAN,"Well, who says they didn't.  But I ain't crazy. You're the respectable one, remember?"
THREEPIO,"Sir, sir! Might I suggest..."
HAN,Then I'll see you in hell!
LUKE,Artoo -- that way!
LUKE,"All right, boys, keep tight now."
LEIA,"Quick, we've got to get across.  Find the control that extends the bridge."
THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
YODA,"Yes, yes. To Obi-Wan you listen. The cave. Remember your failure  at the cave!"
LUKE,Come on!
HAN,Where are you going?
HAN,Over to you?
THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this."
HAN,"Our position is correct, except... no, Alderaan!"
LUKE,But I need your help. I've come back to complete the training.
LEIA,"Luke, Luke, grab a hold of this."
LEIA,"That doesn't sound too hard.  Besides, they let us go.  It's the only explanation for the ease of our escape."
VADER,Where are those transmissions you intercepted?
HAN,Looks like we're coming up on Alderaan.
THREEPIO,"Artoo, where are we going? I couldn't possibly jump."
HAN,What do you want?
HAN,Turn her around.
HAN,"Don't worry, she'll hold together."
LUKE,Red Five standing by.
LANDO,All wings report in.
LUKE,"Hobbie, you still with me?"
VADER,Escape may not his plan.  I must face him alone.
HAN,We're in trouble!
YODA,Luke! You must complete the training.
LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?"
LEIA,I'll be back.
HAN,"We're a little rushed, so if you'll hurry aboard we'll get out of here."
HAN,"You, too."
LUKE,Will you forget it?  I already tried it.  It's magnetically sealed!
LANDO,Lower it!
HAN,"Still, she's got a lot of spirit.  I don't know, what do you think?  Do you think a princess and a guy like me..."
LUKE,Jabba! This is your last chance. Free us or die.
HAN,It's possible? Why don't you go find out? It's getting dark out  there.
HAN,"Boy you said it, Chewie."
HAN,Luke?
LUKE,You serve your master well.
